exp_id,timestamp,model,domain,lora_rank,n_steps,replay_size,seed,subject,is_medical,accuracy,delta_acc,forgetting
L2SP_lam0p1,2026-05-25T14:23:56.639047,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,clinical_knowledge,True,0.8415094339622642,-0.01132075471698113,0.01132075471698113
L2SP_lam0p1,2026-05-25T14:23:56.639747,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,college_biology,True,0.9097222222222222,-0.01388888888888895,0.01388888888888895
L2SP_lam0p1,2026-05-25T14:23:56.640433,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,college_chemistry,True,0.59,0.020000000000000018,-0.020000000000000018
L2SP_lam0p1,2026-05-25T14:23:56.641141,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,college_computer_science,False,0.71,-0.010000000000000009,0.010000000000000009
L2SP_lam0p1,2026-05-25T14:23:56.641841,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,college_mathematics,False,0.56,-0.05999999999999994,0.05999999999999994
L2SP_lam0p1,2026-05-25T14:23:56.642522,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,college_medicine,True,0.7572254335260116,-0.00578034682080919,0.00578034682080919
L2SP_lam0p1,2026-05-25T14:23:56.643214,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,college_physics,False,0.6764705882352942,-0.019607843137254832,0.019607843137254832
L2SP_lam0p1,2026-05-25T14:23:56.643909,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,computer_security,False,0.79,-0.039999999999999925,0.039999999999999925
L2SP_lam0p1,2026-05-25T14:23:56.644584,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,conceptual_physics,False,0.8680851063829788,0.0,-0.0
L2SP_lam0p1,2026-05-25T14:23:56.645268,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,econometrics,False,0.6491228070175439,-0.02631578947368418,0.02631578947368418
